scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
known_hard,17070,0.23,3,250,10,17070,18.5371,0.996685,1,1,1
unknown_random,17070,0.23,3,249,10,34955,18552.9,0,0,-1,1
unknown_hard,17070,0.23,3,250,10,62256,249.62,6.14957e-33,0,-1,1
known_hard,17070,0.23,4,250,10,17070,33.6419,0.67115,1,1,1
unknown_random,17070,0.23,4,249,10,34955,18035.5,0,0,-1,1
unknown_hard,17070,0.23,4,250,10,62256,309.549,2.77871e-44,0,-1,1
known_hard,17070,0.23,5,250,10,17070,39.9657,0.382871,1,1,1
unknown_random,17070,0.23,5,249,10,34955,18534.3,0,0,-1,1
unknown_hard,17070,0.23,5,250,10,62256,303.586,3.8707e-43,0,-1,1
known_hard,17070,0.24,1,250,10,17070,41.2349,0.33103,1,1,1
unknown_random,17070,0.24,1,249,10,34955,16833.7,0,0,-1,1
unknown_hard,17070,0.24,1,250,10,62256,301.294,1.0632e-42,0,-1,1
